move_dur,added_mass,target,eff_mass,eff_mass_mean,sum_t2
1.55,0,2,2.7508,2.8054,0.015075
1.55,0,3,1.471,1.6051,0.010495
1.55,0,4,2.7508,2.791,0.016687
1.55,0,5,1.4715,1.4506,0.012594
1.55,0,6,2.9025,2.8069,0.015075
1.55,0,7,1.7619,1.6079,0.010495
1.55,0,8,2.8505,2.792,0.016687
1.6,0,1,1.471,1.4506,0.011449
1.6,0,2,2.7508,2.8054,0.013706
1.6,0,3,1.471,1.6051,0.0095418
1.6,0,4,2.7508,2.791,0.015171
1.6,0,5,1.4715,1.4506,0.011449
1.6,0,6,2.9025,2.8068,0.013706
1.6,0,7,1.7619,1.6078,0.0095418
1.6,0,8,2.8505,2.792,0.015171
1.65,0,1,1.471,1.4506,0.01044
1.65,0,2,2.7508,2.8054,0.012497
1.65,0,3,1.471,1.6052,0.0087003
1.65,0,4,2.7508,2.7911,0.013833
1.65,0,5,1.4715,1.4506,0.01044
1.65,0,6,2.9025,2.8068,0.012497
1.65,0,7,1.7619,1.6078,0.0087003
1.65,0,8,2.8505,2.792,0.013833
1.7,0,1,1.471,1.4506,0.0095452
1.7,0,2,2.7508,2.8055,0.011426
1.7,0,3,1.471,1.6052,0.0079549
1.7,0,4,2.7508,2.7911,0.012648
1.7,0,5,1.4715,1.4506,0.0095452
1.7,0,6,2.9025,2.8068,0.011426
1.7,0,7,1.7619,1.6078,0.0079549
1.7,0,8,2.8505,2.7919,0.012648
1.75,0,1,1.471,1.4506,0.0087502
1.75,0,2,2.7508,2.8055,0.010475
1.75,0,3,1.471,1.6053,0.0072923
1.75,0,4,2.7508,2.7911,0.011594
1.75,0,5,1.4715,1.4506,0.0087502
1.75,0,6,2.9025,2.8068,0.010475
1.75,0,7,1.7619,1.6077,0.0072923
1.75,0,8,2.8505,2.7919,0.011594
1.8,0,1,1.471,1.4506,0.0080411
1.8,0,2,2.7508,2.8055,0.0096257
1.8,0,3,1.471,1.6053,0.0067013
1.8,0,4,2.7508,2.7911,0.010655
1.8,0,5,1.4715,1.4506,0.0080411
1.8,0,6,2.9025,2.8067,0.0096257
1.8,0,7,1.7619,1.6077,0.0067014
1.8,0,8,2.8505,2.7919,0.010655
1.85,0,1,1.471,1.4506,0.0074065
1.85,0,2,2.7508,2.8055,0.0088661
1.85,0,3,1.471,1.6053,0.0061725
1.85,0,4,2.7508,2.7911,0.0098139
1.85,0,5,1.4715,1.4506,0.0074065
1.85,0,6,2.9025,2.8067,0.0088661
1.85,0,7,1.7619,1.6076,0.0061725
1.85,0,8,2.8505,2.7919,0.0098139
1.9,0,1,1.471,1.4506,0.006837
1.9,0,2,2.7508,2.8055,0.0081844
1.9,0,3,1.471,1.6053,0.0056979
1.9,0,4,2.7508,2.7911,0.0090593
1.9,0,5,1.4715,1.4506,0.006837
1.9,0,6,2.9025,2.8067,0.0081844
1.9,0,7,1.7619,1.6076,0.0056979
1.9,0,8,2.8505,2.7919,0.0090593
1.95,0,1,1.471,1.4506,0.0063245
1.95,0,2,2.7508,2.8055,0.0075708
1.95,0,3,1.471,1.6054,0.0052708
1.95,0,4,2.7508,2.7911,0.0083801
1.95,0,5,1.4715,1.4506,0.0063245
1.95,0,6,2.9025,2.8067,0.0075708
1.95,0,7,1.7619,1.6076,0.0052708
1.95,0,8,2.8505,2.7919,0.0083801
2,0,1,1.471,1.4506,0.0058619
2,0,2,2.7508,2.8055,0.0070171
2,0,3,1.471,1.6054,0.0048852
2,0,4,2.7508,2.7911,0.0077672
2,0,5,1.4715,1.4506,0.0058619
2,0,6,2.9025,2.8067,0.0070171
2,0,7,1.7619,1.6075,0.0048852
2,0,8,2.8505,2.7919,0.0077672
0.3,0.5,1,2.0227,2.0619,0.88349
0.3,0.5,2,3.3911,3.4942,1.0784
0.3,0.5,3,2.0227,2.0956,0.75422
0.3,0.5,4,3.3911,3.4031,1.1714
0.3,0.5,5,2.1408,2.0674,0.88063
0.3,0.5,6,3.6616,3.5069,1.039
0.3,0.5,7,2.2038,2.1041,0.7111
0.3,0.5,8,3.4377,3.4053,1.1662
0.35,0.5,1,2.0227,2.0621,0.94727
0.35,0.5,2,3.3911,3.4949,1.1496
0.35,0.5,3,2.0227,2.0961,0.8017
0.35,0.5,4,3.3911,3.4032,1.2551
0.35,0.5,5,2.1408,2.0669,0.94666
0.35,0.5,6,3.6616,3.5058,1.124
0.35,0.5,7,2.2038,2.1034,0.77096
0.35,0.5,8,3.4377,3.4051,1.2536
0.4,0.5,1,2.0227,2.0623,0.87914
0.4,0.5,2,3.3911,3.4954,1.0622
0.4,0.5,3,2.0227,2.0964,0.73882
0.4,0.5,4,3.3911,3.4032,1.1645
0.4,0.5,5,2.1408,2.0665,0.87909
0.4,0.5,6,3.6616,3.505,1.0482
0.4,0.5,7,2.2038,2.1029,0.72143
0.4,0.5,8,3.4377,3.4049,1.1641
0.45,0.5,1,2.0227,2.0624,0.74622
0.45,0.5,2,3.3911,3.4957,0.89872
0.45,0.5,3,2.0227,2.0967,0.62397
0.45,0.5,4,3.3911,3.4032,0.98837
0.45,0.5,5,2.1408,2.0662,0.74603
0.45,0.5,6,3.6616,3.5044,0.8919
0.45,0.5,7,2.2038,2.1025,0.61587
0.45,0.5,8,3.4377,3.4047,0.98796
0.5,0.5,1,2.0227,2.0625,0.60411
0.5,0.5,2,3.3911,3.496,0.72599
0.5,0.5,3,2.0227,2.0969,0.50363
0.5,0.5,4,3.3911,3.4033,0.80017
0.5,0.5,5,2.1408,2.0659,0.60379
0.5,0.5,6,3.6616,3.5038,0.72289
0.5,0.5,7,2.2038,2.1021,0.50046
0.5,0.5,8,3.4377,3.4046,0.79966
0.55,0.5,1,2.0227,2.0626,0.47933
0.55,0.5,2,3.3911,3.4963,0.57521
0.55,0.5,3,2.0227,2.0971,0.39904
0.55,0.5,4,3.3911,3.4033,0.63494
0.55,0.5,5,2.1408,2.0657,0.47904
0.55,0.5,6,3.6616,3.5034,0.5739
0.55,0.5,7,2.2038,2.1019,0.39805
0.55,0.5,8,3.4377,3.4045,0.6345
0.6,0.5,1,2.0227,2.0627,0.37882
0.6,0.5,2,3.3911,3.4965,0.45415
0.6,0.5,3,2.0227,2.0972,0.31522
0.6,0.5,4,3.3911,3.4033,0.50183
0.6,0.5,5,2.1408,2.0655,0.37861
0.6,0.5,6,3.6616,3.503,0.45366
0.6,0.5,7,2.2038,2.1016,0.31507
0.6,0.5,8,3.4377,3.4044,0.50153
0.65,0.5,1,2.0227,2.0627,0.30093
0.65,0.5,2,3.3911,3.4967,0.36054
0.65,0.5,3,2.0227,2.0974,0.2504
0.65,0.5,4,3.3911,3.4033,0.39867
0.65,0.5,5,2.1408,2.0654,0.3008
0.65,0.5,6,3.6616,3.5027,0.3604
0.65,0.5,7,2.2038,2.1014,0.25053
0.65,0.5,8,3.4377,3.4044,0.39849
0.7,0.5,1,2.0227,2.0628,0.24146
0.7,0.5,2,3.3911,3.4968,0.28916
0.7,0.5,3,2.0227,2.0975,0.20096
0.7,0.5,4,3.3911,3.4033,0.3199
0.7,0.5,5,2.1408,2.0652,0.24138
0.7,0.5,6,3.6616,3.5025,0.28916
0.7,0.5,7,2.2038,2.1013,0.20113
0.7,0.5,8,3.4377,3.4043,0.31979
0.75,0.5,1,2.0227,2.0628,0.19609
0.75,0.5,2,3.3911,3.497,0.23479
0.75,0.5,3,2.0227,2.0976,0.16325
0.75,0.5,4,3.3911,3.4034,0.25981
0.75,0.5,5,2.1408,2.0651,0.19605
0.75,0.5,6,3.6616,3.5022,0.23482
0.75,0.5,7,2.2038,2.1011,0.1634
0.75,0.5,8,3.4377,3.4043,0.25975
0.8,0.5,1,2.0227,2.0629,0.16125
0.8,0.5,2,3.3911,3.4971,0.19304
0.8,0.5,3,2.0227,2.0977,0.13428
0.8,0.5,4,3.3911,3.4034,0.21365
0.8,0.5,5,2.1408,2.065,0.16122
0.8,0.5,6,3.6616,3.502,0.19309
0.8,0.5,7,2.2038,2.101,0.13439
0.8,0.5,8,3.4377,3.4042,0.21362
0.85,0.5,1,2.0227,2.0629,0.13418
0.85,0.5,2,3.3911,3.4972,0.16062
0.85,0.5,3,2.0227,2.0977,0.11176
0.85,0.5,4,3.3911,3.4034,0.17779
0.85,0.5,5,2.1408,2.0649,0.13416
0.85,0.5,6,3.6616,3.5018,0.16066
0.85,0.5,7,2.2038,2.1009,0.11183
0.85,0.5,8,3.4377,3.4042,0.17776
0.9,0.5,1,2.0227,2.0629,0.11286
0.9,0.5,2,3.3911,3.4973,0.1351
0.9,0.5,3,2.0227,2.0978,0.094019
0.9,0.5,4,3.3911,3.4034,0.14954
0.9,0.5,5,2.1408,2.0649,0.11285
0.9,0.5,6,3.6616,3.5017,0.13513
0.9,0.5,7,2.2038,2.1008,0.094064
0.9,0.5,8,3.4377,3.4041,0.14953
0.95,0.5,1,2.0227,2.063,0.095855
0.95,0.5,2,3.3911,3.4973,0.11475
0.95,0.5,3,2.0227,2.0979,0.079862
0.95,0.5,4,3.3911,3.4034,0.12701
0.95,0.5,5,2.1408,2.0648,0.095851
0.95,0.5,6,3.6616,3.5015,0.11476
0.95,0.5,7,2.2038,2.1007,0.07989
0.95,0.5,8,3.4377,3.4041,0.127
1,0.5,1,2.0227,2.063,0.082119
1,0.5,2,3.3911,3.4974,0.098304
1,0.5,3,2.0227,2.0979,0.068424
1,0.5,4,3.3911,3.4034,0.10881
1,0.5,5,2.1408,2.0647,0.082117
1,0.5,6,3.6616,3.5014,0.098312
1,0.5,7,2.2038,2.1006,0.06844
1,0.5,8,3.4377,3.4041,0.10881
1.05,0.5,1,2.0227,2.063,0.070899
1.05,0.5,2,3.3911,3.4975,0.084872
1.05,0.5,3,2.0227,2.098,0.059079
1.05,0.5,4,3.3911,3.4034,0.093944
1.05,0.5,5,2.1408,2.0647,0.070898
1.05,0.5,6,3.6616,3.5013,0.084877
1.05,0.5,7,2.2038,2.1005,0.059088
1.05,0.5,8,3.4377,3.4041,0.093942
1.1,0.5,1,2.0227,2.063,0.061641
1.1,0.5,2,3.3911,3.4976,0.073789
1.1,0.5,3,2.0227,2.098,0.051366
1.1,0.5,4,3.3911,3.4034,0.081677
1.1,0.5,5,2.1408,2.0646,0.06164
1.1,0.5,6,3.6616,3.5012,0.073792
1.1,0.5,7,2.2038,2.1004,0.051372
1.1,0.5,8,3.4377,3.404,0.081676
1.15,0.5,1,2.0227,2.0631,0.053932
1.15,0.5,2,3.3911,3.4976,0.064561
1.15,0.5,3,2.0227,2.0981,0.044943
1.15,0.5,4,3.3911,3.4034,0.071462
1.15,0.5,5,2.1408,2.0646,0.053931
1.15,0.5,6,3.6616,3.5011,0.064562
1.15,0.5,7,2.2038,2.1004,0.044946
1.15,0.5,8,3.4377,3.404,0.071461
1.2,0.5,1,2.0227,2.0631,0.047459
1.2,0.5,2,3.3911,3.4977,0.056812
1.2,0.5,3,2.0227,2.0981,0.03955
1.2,0.5,4,3.3911,3.4034,0.062885
1.2,0.5,5,2.1408,2.0645,0.047459
1.2,0.5,6,3.6616,3.501,0.056813
1.2,0.5,7,2.2038,2.1003,0.039552
1.2,0.5,8,3.4377,3.404,0.062885
1.25,0.5,1,2.0227,2.0631,0.041984
1.25,0.5,2,3.3911,3.4977,0.050258
1.25,0.5,3,2.0227,2.0981,0.034988
1.25,0.5,4,3.3911,3.4034,0.05563
1.25,0.5,5,2.1408,2.0645,0.041984
1.25,0.5,6,3.6616,3.5009,0.050258
1.25,0.5,7,2.2038,2.1003,0.034989
1.25,0.5,8,3.4377,3.404,0.05563
1.3,0.5,1,2.0227,2.0631,0.03732
1.3,0.5,2,3.3911,3.4978,0.044675
1.3,0.5,3,2.0227,2.0982,0.031102
1.3,0.5,4,3.3911,3.4034,0.049451
1.3,0.5,5,2.1408,2.0644,0.03732
1.3,0.5,6,3.6616,3.5008,0.044676
1.3,0.5,7,2.2038,2.1002,0.031102
1.3,0.5,8,3.4377,3.404,0.049451
1.35,0.5,1,2.0227,2.0631,0.033323
1.35,0.5,2,3.3911,3.4978,0.039891
1.35,0.5,3,2.0227,2.0982,0.027771
1.35,0.5,4,3.3911,3.4034,0.044155
1.35,0.5,5,2.1408,2.0644,0.033323
1.35,0.5,6,3.6616,3.5008,0.039891
1.35,0.5,7,2.2038,2.1002,0.027771
1.35,0.5,8,3.4377,3.4039,0.044155
1.4,0.5,1,2.0227,2.0631,0.029878
1.4,0.5,2,3.3911,3.4978,0.035766
1.4,0.5,3,2.0227,2.0982,0.0249
1.4,0.5,4,3.3911,3.4034,0.039589
1.4,0.5,5,2.1408,2.0644,0.029878
1.4,0.5,6,3.6616,3.5007,0.035766
1.4,0.5,7,2.2038,2.1001,0.0249
1.4,0.5,8,3.4377,3.4039,0.039589
1.45,0.5,1,2.0227,2.0631,0.026892
1.45,0.5,2,3.3911,3.4979,0.032191
1.45,0.5,3,2.0227,2.0982,0.022411
1.45,0.5,4,3.3911,3.4034,0.035632
1.45,0.5,5,2.1408,2.0644,0.026892
1.45,0.5,6,3.6616,3.5006,0.032191
1.45,0.5,7,2.2038,2.1001,0.022411
1.45,0.5,8,3.4377,3.4039,0.035632
1.5,0.5,1,2.0227,2.0632,0.024291
1.5,0.5,2,3.3911,3.4979,0.029078
1.5,0.5,3,2.0227,2.0983,0.020243
1.5,0.5,4,3.3911,3.4034,0.032186
1.5,0.5,5,2.1408,2.0643,0.024291
1.5,0.5,6,3.6616,3.5006,0.029078
1.5,0.5,7,2.2038,2.1001,0.020244
1.5,0.5,8,3.4377,3.4039,0.032186
1.55,0.5,1,2.0227,2.0632,0.022015
1.55,0.5,2,3.3911,3.4979,0.026353
1.55,0.5,3,2.0227,2.0983,0.018347
1.55,0.5,4,3.3911,3.4034,0.02917
1.55,0.5,5,2.1408,2.0643,0.022015
1.55,0.5,6,3.6616,3.5005,0.026353
1.55,0.5,7,2.2038,2.1,0.018347
1.55,0.5,8,3.4377,3.4039,0.02917
1.6,0.5,1,2.0227,2.0632,0.020014
1.6,0.5,2,3.3911,3.498,0.023959
1.6,0.5,3,2.0227,2.0983,0.01668
1.6,0.5,4,3.3911,3.4034,0.02652
1.6,0.5,5,2.1408,2.0643,0.020014
1.6,0.5,6,3.6616,3.5005,0.023959
1.6,0.5,7,2.2038,2.1,0.01668
1.6,0.5,8,3.4377,3.4039,0.02652
1.65,0.5,1,2.0227,2.0632,0.018249
1.65,0.5,2,3.3911,3.498,0.021846
1.65,0.5,3,2.0227,2.0983,0.015209
1.65,0.5,4,3.3911,3.4035,0.024181
1.65,0.5,5,2.1408,2.0642,0.018249
1.65,0.5,6,3.6616,3.5004,0.021846
1.65,0.5,7,2.2038,2.1,0.015209
1.65,0.5,8,3.4377,3.4039,0.024181
1.7,0.5,1,2.0227,2.0632,0.016686
1.7,0.5,2,3.3911,3.498,0.019974
1.7,0.5,3,2.0227,2.0983,0.013906
1.7,0.5,4,3.3911,3.4035,0.022109
1.7,0.5,5,2.1408,2.0642,0.016686
1.7,0.5,6,3.6616,3.5004,0.019974
1.7,0.5,7,2.2038,2.0999,0.013906
1.7,0.5,8,3.4377,3.4039,0.022109
1.75,0.5,1,2.0227,2.0632,0.015296
1.75,0.5,2,3.3911,3.498,0.01831
1.75,0.5,3,2.0227,2.0984,0.012748
1.75,0.5,4,3.3911,3.4035,0.020268
1.75,0.5,5,2.1408,2.0642,0.015296
1.75,0.5,6,3.6616,3.5003,0.01831
1.75,0.5,7,2.2038,2.0999,0.012748
1.75,0.5,8,3.4377,3.4039,0.020268
1.8,0.5,1,2.0227,2.0632,0.014056
1.8,0.5,2,3.3911,3.4981,0.016826
1.8,0.5,3,2.0227,2.0984,0.011714
1.8,0.5,4,3.3911,3.4035,0.018625
1.8,0.5,5,2.1408,2.0642,0.014056
1.8,0.5,6,3.6616,3.5003,0.016826
1.8,0.5,7,2.2038,2.0999,0.011714
1.8,0.5,8,3.4377,3.4038,0.018625
1.85,0.5,1,2.0227,2.0632,0.012947
1.85,0.5,2,3.3911,3.4981,0.015499
1.85,0.5,3,2.0227,2.0984,0.01079
1.85,0.5,4,3.3911,3.4035,0.017155
1.85,0.5,5,2.1408,2.0642,0.012947
1.85,0.5,6,3.6616,3.5003,0.015499
1.85,0.5,7,2.2038,2.0998,0.01079
1.85,0.5,8,3.4377,3.4038,0.017155
1.9,0.5,1,2.0227,2.0632,0.011952
1.9,0.5,2,3.3911,3.4981,0.014307
1.9,0.5,3,2.0227,2.0984,0.0099604
1.9,0.5,4,3.3911,3.4035,0.015836
1.9,0.5,5,2.1408,2.0642,0.011952
1.9,0.5,6,3.6616,3.5002,0.014307
1.9,0.5,7,2.2038,2.0998,0.0099604
1.9,0.5,8,3.4377,3.4038,0.015836
1.95,0.5,1,2.0227,2.0632,0.011056
1.95,0.5,2,3.3911,3.4981,0.013234
1.95,0.5,3,2.0227,2.0984,0.0092137
1.95,0.5,4,3.3911,3.4035,0.014649
1.95,0.5,5,2.1408,2.0641,0.011056
1.95,0.5,6,3.6616,3.5002,0.013234
1.95,0.5,7,2.2038,2.0998,0.0092137
1.95,0.5,8,3.4377,3.4038,0.014649
2,0.5,1,2.0227,2.0632,0.010247
2,0.5,2,3.3911,3.4981,0.012266
2,0.5,3,2.0227,2.0984,0.0085398
2,0.5,4,3.3911,3.4035,0.013578
2,0.5,5,2.1408,2.0641,0.010247
2,0.5,6,3.6616,3.5001,0.012266
2,0.5,7,2.2038,2.0998,0.0085398
2,0.5,8,3.4377,3.4038,0.013578
0.3,1,1,2.566,2.6276,1.1454
0.3,1,2,3.9742,4.1066,1.3981
0.3,1,3,2.566,2.6138,0.97783
0.3,1,4,3.9742,3.9703,1.5187
0.3,1,5,2.731,2.6353,1.1417
0.3,1,6,4.3135,4.1225,1.3471
0.3,1,7,2.6948,2.6199,0.92192
0.3,1,8,3.9892,3.971,1.5119
0.35,1,1,2.566,2.628,1.2281
0.35,1,2,3.9742,4.1074,1.4904
0.35,1,3,2.566,2.6141,1.0394
0.35,1,4,3.9742,3.9702,1.6272
0.35,1,5,2.731,2.6346,1.2273
